Semi_Major_Axis__km,Eccentricity___,Inclination__degree,Right_Ascention_Of_Ascending_Node__degree,Argument_Of_Perigee_degree,Argument_Of_True_Anomaly__degree,Initial_Argument_of_True_Anomaly_Delta__degree,Number_Of_Event_Sequence_Repeats,Bridge_Function_Name,Event_Sequence_Name,Simulation_Time__Days,Average_Drift_Over_Last_Day_Of_Simulation_With_Control__km,Average_Drift_Over_Last_Day_of_Simulation_Without_Control__km
6904.89222360324,0.0002542,2,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,5.43813546315596,6.01158621139712
6904.89222360324,0.0002542,7.86666666666667,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,4.35571137846364,7.49277892760529
6904.89222360324,0.0002542,13.7333333333333,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,2.26297917173451,10.3617959550393
6904.89222360324,0.0002542,19.6,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,0.256615412881729,13.8592335367102
6904.89222360324,0.0002542,25.4666666666667,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,1.15321422881334,16.9630518556778
6904.89222360324,0.0002542,31.3333333333333,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,0.401086381508321,18.6158075699013
6904.89222360324,0.0002542,37.2,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,5.36686553832533,17.8709121938482
6904.89222360324,0.0002542,43.0666666666667,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,14.1476588801524,14.1076001121592
6904.89222360324,0.0002542,48.9333333333333,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,19.9084474400306,7.17562550540333
6904.89222360324,0.0002542,54.8,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,9.81258329362936,2.55513623812476
6904.89222360324,0.0002542,60.6666666666667,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,5.28593984338477,14.2228421796426
6904.89222360324,0.0002542,66.5333333333333,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,12.5854045388987,26.6007767283099
6904.89222360324,0.0002542,72.4,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,11.7375809131436,38.3347420645141
6904.89222360324,0.0002542,78.2666666666667,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,8.78009674452733,47.9224660509481
6904.89222360324,0.0002542,84.1333333333333,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,6.33583295403878,54.2485588424588
6904.89222360324,0.0002542,90,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,5.36566384240723,56.4510447302846
6904.89222360324,0.0002542,95.8666666666667,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,6.28749718266226,54.2485539594654
6904.89222360324,0.0002542,101.733333333333,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,8.83563773417245,47.9224634652228
6904.89222360324,0.0002542,107.6,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,11.9717398367538,38.3347380476298
6904.89222360324,0.0002542,113.466666666667,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,12.2180994685705,26.6007843018615
6904.89222360324,0.0002542,119.333333333333,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,5.47833713766067,14.2228427151713
6904.89222360324,0.0002542,125.2,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,10.0407777791133,2.55512484898463
6904.89222360324,0.0002542,131.066666666667,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,19.9506944315126,7.17562550583989
6904.89222360324,0.0002542,136.933333333333,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,14.1298774641064,14.1076369313978
6904.89222360324,0.0002542,142.8,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,5.37141201822033,17.8709040240992
6904.89222360324,0.0002542,148.666666666667,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,0.259936063305759,18.6157835999948
6904.89222360324,0.0002542,154.533333333333,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,0.821953748563828,16.9630222932064
6904.89222360324,0.0002542,160.4,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,0.267849937956271,13.8592310997265
6904.89222360324,0.0002542,166.266666666667,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,2.34776905123636,10.3617991941574
6904.89222360324,0.0002542,172.133333333333,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,4.34890914958396,7.49278097260139
6904.89222360324,0.0002542,178,47.8475,146.8877,0,60,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,5.4293665180785,6.01158669191045
