Semi_Major_Axis__km,Eccentricity___,Inclination__degree,Right_Ascention_Of_Ascending_Node__degree,Argument_Of_Perigee_degree,Argument_Of_True_Anomaly__degree,Initial_Argument_of_True_Anomaly_Delta__degree,Number_Of_Event_Sequence_Repeats,Bridge_Function_Name,Event_Sequence_Name,Simulation_Time__Days,Average_Drift_Over_Last_Day_Of_Simulation_With_Control__km,Average_Drift_Over_Last_Day_of_Simulation_Without_Control__km
6904.89222360324,0.0002542,70,47.8475,146.8877,0,2,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,9.84914846458562,30.1038363027772
6904.89222360324,0.0002542,70,47.8475,146.8877,0,7.86666666666667,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,10.192269239487,35.7433195481726
6904.89222360324,0.0002542,70,47.8475,146.8877,0,13.7333333333333,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,10.608151458144,41.1463613162666
6904.89222360324,0.0002542,70,47.8475,146.8877,0,19.6,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,10.9223328717781,45.6835754837944
6904.89222360324,0.0002542,70,47.8475,146.8877,0,25.4666666666667,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,11.3756041045299,48.8105356684596
6904.89222360324,0.0002542,70,47.8475,146.8877,0,31.3333333333333,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,11.7552401389871,50.1550777711395
6904.89222360324,0.0002542,70,47.8475,146.8877,0,37.2,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,12.0909989124002,49.5747756367546
6904.89222360324,0.0002542,70,47.8475,146.8877,0,43.0666666666667,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,12.4042706562841,47.1759108300557
6904.89222360324,0.0002542,70,47.8475,146.8877,0,48.9333333333333,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,12.6208310454858,43.2889655692079
6904.89222360324,0.0002542,70,47.8475,146.8877,0,54.8,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,12.7396008517408,38.4112381089662
6904.89222360324,0.0002542,70,47.8475,146.8877,0,60.6666666666667,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,12.7449198518007,33.1183534187849
6904.89222360324,0.0002542,70,47.8475,146.8877,0,66.5333333333333,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,12.616614740251,27.971001761126
6904.89222360324,0.0002542,70,47.8475,146.8877,0,72.4,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,12.3922648614553,23.4296889204788
6904.89222360324,0.0002542,70,47.8475,146.8877,0,78.2666666666667,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,12.0961908001118,19.7915350747735
6904.89222360324,0.0002542,70,47.8475,146.8877,0,84.1333333333333,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,11.6444224895822,17.1629509137874
6904.89222360324,0.0002542,70,47.8475,146.8877,0,90,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,11.0767705553008,15.4683546415617
6904.89222360324,0.0002542,70,47.8475,146.8877,0,95.8666666666667,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,10.4314544337685,14.490898096883
6904.89222360324,0.0002542,70,47.8475,146.8877,0,101.733333333333,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,9.72340080367576,13.9357316059159
6904.89222360324,0.0002542,70,47.8475,146.8877,0,107.6,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,8.97905026982153,13.5004652132993
6904.89222360324,0.0002542,70,47.8475,146.8877,0,113.466666666667,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,8.20418068062099,12.9387990340238
6904.89222360324,0.0002542,70,47.8475,146.8877,0,119.333333333333,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,7.42707776138559,12.1047243246412
6904.89222360324,0.0002542,70,47.8475,146.8877,0,125.2,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,6.67388597818172,10.9690854741075
6904.89222360324,0.0002542,70,47.8475,146.8877,0,131.066666666667,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,5.93147492058597,9.60723690708073
6904.89222360324,0.0002542,70,47.8475,146.8877,0,136.933333333333,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,5.23408969107186,8.16273208950952
6904.89222360324,0.0002542,70,47.8475,146.8877,0,142.8,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,4.57623465556208,6.79683804359229
6904.89222360324,0.0002542,70,47.8475,146.8877,0,148.666666666667,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,3.96272466398841,5.63626128776559
6904.89222360324,0.0002542,70,47.8475,146.8877,0,154.533333333333,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,1.17921360118817,4.73285441488588
6904.89222360324,0.0002542,70,47.8475,146.8877,0,160.4,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,1.14026138067857,4.04333599116217
6904.89222360324,0.0002542,70,47.8475,146.8877,0,166.266666666667,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,1.13206427943987,3.43537742936496
6904.89222360324,0.0002542,70,47.8475,146.8877,0,172.133333333333,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,1.14129914612568,2.7172855854551
6904.89222360324,0.0002542,70,47.8475,146.8877,0,178,1,bridgeToDepritSpace,Hamiltonian Matching Sequence,60,1.1583321627204,1.68487714010917
